Name,Size,Type,Tag,Alignment,Fly/Hover/Swim,CR,Source book,Source page,Spell user,Legendary actions,Lair actions,Abilities,Actions,Reaction,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other,,Credits
Shambling Mound,Large,Plant,,Unaligned,,5,MM,270,n,n,n,,,,,,,x,,,,,,,,,,
Shantak,Large,Monstrosity,,Lawful evil,,5,CC,328,n,n,n,,,,,,,,,,,,,,,,,
Shard Swarm,Medium,Construct,Swarm,Unaligned,,1/2,CC,329,n,n,n,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Sharkjaw Skeleton,Large,Undead,,Lawful evil,,1,ToB,350,n,n,n,,,,,ø,,,,,,,,ø,,,,
Sharwyn Hucrele,Medium,Humanoid,,Neutral evil,,1/2,TftYP,242,y,n,n,,,,,,,,,,,,,,,,,
Shellycoat,Medium,Fey,,Neutral evil,,2,ToB,346,y,n,n,,,,ø,ø,,,,,,ø,,ø,,,,
Shield Guardian,Large,Construct,,Unaligned,,7,MM,271,n,n,n,,,,,,,,,,,,,,x,,,
Shipbreaker sea serpent,Gargantuan,Dragon,Aquatic,Chaotic neutral,,20,FEF,202,n,y,n,,,,,,,,,,,,,x,,,,
Shippei-Tao,Large,Giant,,Chaotic neutral,,2,MaDC,177,n,n,n,,,,,ø,ø,ø,ø,ø,ø,ø,,,,,,
Shoalar Quanderil,Medium,Humanoid,Water Genasi,Lawful evil,,4,PotA,208,y,n,n,,,,,,,,,,,,,,,,,
Shockwing,Small,Beast,Giant Moth,Unaligned,,1,CC,179,n,n,n,"Antennae, Charged","Multiattack, Proboscis, Fulminating Wings",,,,,x,x,,,,,,,,,
Shoggoth,Huge,Aberration,,Unaligned,,16,MaDC,178,n,y,n,,,,,,,,,,,,,,,ø,,
Shoggoth,Huge,Aberration,,Chaotic neutral,,19,ToB,347,n,n,n,,,,,,,,,,,,,,,ø,,
Shoosuva,Large,Fiend,Demon,Chaotic evil,,8,VGtM,137,n,n,n,,,,x,,,x,x,x,,,,,,,,
Shoreline Scrapper,Large,Beast,,Unaligned,,4,CC,330,n,n,n,,,,,,,,,,,,,,,,,
Shrieker,Medium,Plant,,Unaligned,,0,MM,138,n,n,n,,,,,,,,,,,,x,,,,,
Shroom,Small,Plant,Fungus,Chaotic evil,,4,FEF,209,y,n,y,,,,,,,x,,,,x,x,,,,,
Shroud,Medium,Undead,,Neutral evil,,1/8,ToB,348,n,n,n,,,,,,,,,,,,,,ø,,,
Sibriex,Huge,Fiend,Demon,Chaotic evil,,18,MToF,137,y,y,n,,,,,,,,,,,,x,,,ø,,
Sigilian,Medium,Construct,,Unaligned,,2,CC,335,n,n,n,,,,,,,,,,,,,,,,,
Sildar Hallwinter,Medium,Humanoid,Human,Neutral good,,1,LMoP,61,n,n,n,,,,,,,,,,,,,,,,,
Silver Dragon Wyrmling,Medium,Dragon,,Lawful good,,2,MM,118,n,n,n,,,,,,,,,,x,,,,x,,,
Silver Knight,Medium,Humanoid,,Lawful neutral,,6,MaDC,180,n,n,n,,,,,,,,,,,,,,ø,,,
Silverpaw Dog,Medium,Fey,,Unaligned,,1,MaDC,183,n,n,n,,,,,ø,,ø,ø,ø,,,,,ø,,,
Silverpaw Paladin,Small,Humanoid,Halfling,Lawful good,,4,MaDC,183,y,n,n,,,,,ø,,ø,ø,ø,,,,,ø,,,
Simhamukha,Huge,Celestial,Dakini,Chaotic good,,8,CC,70,y,n,n,"Magic Weapons, Magic Resistance, Smite, Innate Spellcasting","Multiattack, Bite, Kartika, Staff Sweep, Weird",,,,,,,,,,,,,,,
Simurg,Gargantuan,Celestial,,Neutral good,,5,CC,339,y,n,n,,,,,,,,,,,,,,,,,
Sir Breaford,Medium,Humanoid,Human,Neutral evil,,1/2,TftYP,243,n,n,n,,,,,,,,,,,,,,,,,
"Sir Redar, Knight of the Secret Oath",Medium,Undead,,Lawful evil,,6,MaDC,181,y,n,n,,,,,,,,,,,,,,ø,,,
Sire of Insanity,Huge,Fiend,Demon,Chaotic evil,,12,GGtR,197,y,n,n,,,,,,,,,,,,ø,,ø,ø,,
Sire of Stagnation,Gargantuan,Aberration,Eldrazi,Chaotic evil,,17,MaDC,179,n,n,n,,,,,,,,,,,,,,,ø,,
Siren,Medium,Fey,,Chaotic good,,3,TftYP,243,y,n,n,,,,,,,,,,,,,,,,,
Skeemo Weirdbottle,Small,Humanoid,Gnome,Neutral evil,,6,WDH,200,y,n,n,,,,,,,,,,,,,,ø,,,
Skein Witch,Medium,Celestial,,Neutral,,12,ToB,349,n,n,n,,,,,,,,,,,,,,,ø,,
Skeletal Titan,Gargantuan,Undead,,Lawful evil,,15,MaDC,182,n,n,n,,,,,,ø,,,,,,,,,,,
Skeleton,Medium,Undead,,Lawful evil,,1/4,LMoP,62,n,n,n,,,,,,,,,,,,,,ø,,,
Skeleton,Medium,Undead,,Lawful evil,,1/4,MM,272,n,n,n,,,,,,,,,,,,,,x,,,
Skeleton warrior,Medium,Undead,,Neutral evil,,14,FEF,210,n,y,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Skelzi,Medium,Humanoid,,Chaotic evil,,1,FEF,213,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Skin Bat,Small,Fiend,,Neutral evil,,1/2,ToB,87,n,n,n,,,,,,,,,,,,,,,ø,,
Skitterhaunt,Large,Ooze,,Unaligned,,4,ToB,352,n,n,n,,,,ø,,,ø,,ø,ø,ø,ø,,,,,
Skittering Horror,Huge,Aberration,,Neutral evil,,15,GGtR,205,n,n,n,,,,,,,,,,,,ø,,ø,,,
Skulk,Medium,Humanoid,,Chaotic neutral,,1/2,FEF,214,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Skulk,Medium,Humanoid,,Chaotic neutral,,1/2,MToF,227,n,n,n,,,,,x,,x,,,,x,,,,,,
Skull Drake,Medium,Dragon,Drake,Neutral,,3,CC,132,n,n,n,"Keen Smell, Sunlight Sensitivity","Multiattack,Bite, Necrotic Breath",,,,,,,,,,,,,,,
Skull Lantern,Tiny,Undead,,Unaligned,,1/4,CC,343,n,n,n,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Skull Lord,Medium,Undead,,Lawful evil,,15,MToF,230,y,y,n,,,,,,x,,,,,x,x,,,,,
Skyjek Roc,Large,Monstrosity,,Unaligned,,2,GGtR,219,n,n,n,,,,,,,,,,,,,,ø,,,
Skyswimmer,Gargantuan,Monstrosity,,Unaligned,,13,GGtR,220,n,n,n,,,,,,,,,,,,,,ø,,,
Skyweaver,Medium,Humanoid,Human,Chaotic evil,,3,PotA,191,y,n,n,,,,,,,,,,,,,,,,,
Slaad Tadpole,Tiny,Aberration,,Chaotic neutral,,1/8,MM,276,n,n,n,,,,,,,,,,,,,,,ø,,
Sleipnir,Large,Monstrosity,,Neutral good,,5,CC,344,n,n,n,,,,,,,,,,,,,,,,,
Slithering tracker,Small,Ooze,Medium size,Unaligned,,1,FEF,215,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Slithering Tracker,Medium,Ooze,,Chaotic evil,,3,VGtM,191,n,n,n,,,,,,,,,,,,x,,x,,,
Sliver,Medium,Monstrosity,Sliver,Neutral evil,,1/2,MaDC,182,n,n,n,,,,,ø,,ø,ø,ø,ø,ø,ø,,,,,
Sliver Queen,Huge,Monstrosity,Sliver,Neutral evil,,13,MaDC,188,n,y,n,,,,,ø,,ø,ø,ø,ø,ø,ø,,,,,
Slow Storm,Huge,Elemental,,Chaotic neutral,,15,ToB,353,y,n,n,,,,,ø,ø,,ø,,,,,,,ø,,
Sluagh Swarm,Medium,Fey,Swarm,Chaotic evil,,3,ToB,376,n,n,n,,,,ø,,,,,,,,ø,,,,,
Smaragdine Golem,Large,Construct,,Unaligned,,14,ToB,236,n,n,n,,,,,,,,,,,,ø,,,,,
Smoke Mephit,Small,Elemental,,Neutral evil,,1/4,MM,217,y,n,n,,,,,,,,,,,,,,x,,,
Smolder Souleater,Medium,Fiend,Demon,Chaotic evil,,8,MaDC,190,n,n,n,,,,,,,,,,,,,,,ø,,
Snow Cat,Medium,Beast,,Unaligned,,1/4,CC,346,n,n,n,,,,x,,,x,,,,,,,,,,
Snow Hag,Medium,Fey,,Neutral evil,,3,CC,214,y,n,n,,,,,,,,,,,,,,,,,
Snow leopard,Medium,Beast,,Unaligned,,1/4,FEF,163,n,n,n,,,,x,,,x,x,,x,,,,,,,
Snow Spider,Large,Beast,Spider,Unaligned,,3,MaDC,191,n,n,n,,,,ø,,,,,,,,,,,,,
Solar,Large,Celestial,,Lawful good,,21,MM,18,y,y,n,,,,,,,,,,,,,,,ø,,
Soldier,Medium,Humanoid,Any Race,Any alignment,,1/2,GGtR,226,n,n,n,,,,,,,,,,,,,,ø,,,
Son of Fenris,Huge,Monstrosity,,Chaotic evil,,12,ToB,355,y,n,n,,,,ø,,,,,,,,,,,,,
Song Angel,Large,Celestial,Angel,Lawful good,,6,CC,20,y,n,n,,,,,,,,,,,,,,,,,
Sootwing,Small,Beast,Giant Moth,Unaligned,,1/4,CC,179,n,n,n,Antennae,"Proboscis, Sooty Wings",,,,,,x,,x,,,,,,,
Sooze,Medium,Aberration,Shoth,Lawful neutral,,1/2,CC,334,n,n,n,,,,,,,,,,,,,,x,,,
Soul Eater,Medium,Fiend,,Neutral evil,,7,ToB,356,n,n,n,,,,,,,,,,,,,,,ø,,
Soul Monger,Medium,Humanoid,"Elf, Shadar-Kai",Neutral,,11,MToF,226,n,n,n,,,,,,,,,,,,x,,x,,,
Soul reaper,Large,Undead,,Neutral evil,,16,FEF,216,y,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Spark,Tiny,Elemental,,Chaotic neutral,,7,ToB,357,y,n,n,,,,,,,,,,,,,,,ø,,
Spawn of Akyishigal,Medium,Fiend,,Chaotic evil,,5,ToB,83,n,n,n,,,,,,,,,,,,,,,ø,,
Spawn of Arbeyach,Medium,Fiend,,Lawful evil,,5,ToB,97,y,n,n,,,,,ø,ø,,,,,,,,,,,
Spawn of Chernobog,Large,Fiend,,Chaotic evil,,4,CC,347,n,n,n,,,,,,,,,,,,,,,,,
Spawn of Kyuss,Medium,Undead,,Chaotic evil,,5,VGtM,192,n,n,n,,,,,,x,,,,,,x,,,,,
Spawn of Parzelon,Medium,Fiend,Devil,Lawful evil,,5,CC,102,y,n,n,"Devil's SIght, Keen Smell, Magic Resistance, Pack Tactics, Pounce, Innate Spellcasting","Multiattack, Bite Claw, Tranquil Roar",,,,,,,,,,,,,,,
Spectator,Medium,Aberration,Beholder,Lawful neutral,,3,LMoP,62,n,n,n,,,,,,,,,,,,ø,,ø,,,
Spectator,Medium,Aberration,Beholder,Lawful neutral,,3,MM,30,n,n,n,,,,,,,,,,,,ø,,ø,,,
Specter,Medium,Undead,,Chaotic evil,,1,MM,279,n,n,n,,,,,,,,,,,,x,,x,,,
Specter (poltergeist),Medium,Undead,,Chaotic evil,,2,MM,279,n,n,n,,,,,,,,,,,,x,,x,,,
Spectral Guardian,Medium,Undead,,Neutral evil,,6,ToB,358,n,n,n,,,,,,,,,,,,,,ø,,,
Spectral troll,Large,Undead,,Chaotic evil,,4,FEF,234,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Spellskite,Large,Construct,,Unaligned,,5,MaDC,192,n,n,n,,,,,,,,,,,,,,ø,,,
Sperman,Medium,Humanoid,Human,Unaligned,,1/4,MaDC,89,n,n,n,,,,,,,,,,,,,,ø,,,
Spider,Tiny,Beast,,Unaligned,,0,MM,337,n,n,n,,,,,,ø,ø,ø,ø,ø,ø,ø,,ø,,,
Spider Drake,Large,Dragon,Drake,Lawful evil,,9,CC,133,n,n,n,Sticky Secretions,"Multiattack, Bite Claw, Posion Breath, Web",,,,,,,,,,,,,,,
Spider of Leng,Large,Aberration,,Chaotic evil,,7,ToB,365,y,n,n,,,,,,,,,,,,,,,ø,,
Spider Skull,Tiny,Undead,,Neutral evil,,1/2,MaDC,193,n,n,n,,,,,,,,,,,,ø,,,,,
Spider Thief,Small,Construct,,Unaligned,,2,ToB,366,n,n,n,,,,,,,,,,,,,,ø,,,
Spined Devil,Small,Fiend,Devil,Lawful evil,,2,MM,78,n,n,n,,,,,,,,,,,,,,,ø,,
Spinosaurus,Gargantuan,Beast,Dinosaur,Unaligned,,13,ToB,116,n,y,n,,,,,ø,,ø,,,,ø,,,,,,
Spire Walker,Tiny,Fey,,Chaotic neutral,,3,ToB,367,n,n,n,,,,,,,,,,,,,,ø,,,
Spirit,Medium,Undead,,Any alignment,,1/2,MaDC,194,n,n,n,,,,,,,,,,,,ø,,ø,,,
Spirit Lamp,Medium,Undead,,Chaotic evil,,7,CC,349,n,n,n,,,,,,,,,,,,,,,,,
Spirit Naga,Large,Monstrosity,,Chaotic evil,,8,MM,234,y,n,n,,,,,,,,,,,,x,,,,,
Spirit Troll,Large,Giant,,Chaotic evil,,11,MToF,244,n,n,n,,,,,x,,x,,,,x,x,,,,,
Spitting sea serpent,Large,Dragon,Aquatic,Chaotic evil,,5,FEF,204,n,n,n,,,,,,,,,,,,,x,,,,
Spitting Sliver,Large,Monstrosity,Sliver,Neutral evil,,2,MaDC,187,n,n,n,,,,,ø,,ø,ø,ø,ø,ø,ø,,,,,
Spree,Small,Fiend,Demon,Chaotic evil,,5,CC,91,n,n,n,"Frothing Rage, Spree Madness","Multiattack, Claw",,,,,,,,,,,,,,,
Spring Eladrin,Medium,Fey,Elf,Chaotic neutral,,10,MToF,196,y,n,n,,,,,,,x,x,,,,,,,,,
Sprite,Tiny,Fey,,Neutral good,,1/4,MM,283,n,n,n,,,,,,,x,,,,,,,,,,
Spy,Medium,Humanoid,Any Race,Any alignment,,1,MM,349,n,n,n,,,,,,,,,,,,,,x,,,
Stahnk (Undead Beast),Huge,Undead,,Neutral evil,,7,MaDC,195,n,n,n,,,,ø,ø,ø,ø,ø,ø,ø,ø,,,,,,
Star Drake,Large,Dragon,,Neutral,,15,ToB,156,y,y,n,,,,,,,,,,,,,,,ø,,
Star Spawn Grue,Small,Aberration,,Neutral evil,,1/4,MToF,234,n,n,n,,,,,,,,,,x,,x,,,,,
Star Spawn Hulk,Large,Aberration,,Neutral evil,,10,MToF,234,n,n,n,,,,,,,,,,x,,x,,,,,
Star Spawn Larva Mage,Medium,Aberration,,Neutral evil,,16,MToF,235,y,y,n,,,,,,,,,,x,,x,,,,,
Star Spawn Mangler,Medium,Aberration,,Neutral evil,,5,MToF,236,n,n,n,,,,,,,,,,x,,x,,,,,
Star Spawn Seer,Medium,Aberration,,Neutral evil,,13,MToF,236,n,n,n,,,,,,,,,,x,,x,,,,,
Star Vampire,Large,Aberration,,Chaotic evil,,4,MaDC,196,n,n,n,,,,,,,,,,,,,,,ø,,
Star-Spawn of Cthulhu,Large,Fiend,,Chaotic evil,,15,ToB,368,n,n,n,,,,,,,,,,,,,,,ø,,
Steam Golem,Large,Construct,,Unaligned,,13,ToB,237,n,n,n,,,,,,,,,,,,,,ø,,,
Steam Mephit,Small,Elemental,,Neutral evil,,1/4,MM,217,y,n,n,,,,,,,,,,,,,x,,,,
Steel Predator,Large,Construct,,Lawful evil,,16,MToF,239,y,n,n,,,,,,,,,,,,,,x,,,
Stegocentipede,Huge,Beast,,Unaligned,,4,FEF,217,n,n,n,,,,,,,x,,,,,x,,,,,
Stegosaurus,Huge,Beast,Dinosaur,Unaligned,,4,ToA,231,n,n,n,,,,,,,ø,ø,,,,,,,,,
Stegosaurus,Huge,Beast,Dinosaur,Unaligned,,4,VGtM,140,n,n,n,,,,,,,x,x,,,,,,,,,
Stirge,Tiny,Beast,,Unaligned,,1/8,LMoP,62,n,n,n,,,,,ø,ø,ø,ø,ø,ø,ø,ø,,,,,
Stirge,Tiny,Beast,,Unaligned,,1/8,MM,284,n,n,n,,,,,x,x,x,x,x,x,x,x,,x,,,
Stone Cursed,Medium,Construct,,Lawful evil,,1,MToF,240,n,n,n,,,,,,x,,,,x,,,,x,,,
Stone Defender,Medium,Construct,,Unaligned,,4,MToF,126,n,n,n,,,,,,,x,x,x,x,,,,,,,
Stone Giant,Huge,Giant,Stone Giant,Neutral,,7,MM,156,n,n,n,,,,,,,,,x,x,,x,,,,,
Stone Giant Dreamwalker,Huge,Giant,Stone Giant,Chaotic neutral,,10,VGtM,150,n,n,n,,,,,x,,,,x,x,,,,,,,
Stone Golem,Large,Construct,,Unaligned,,10,MM,170,n,n,n,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,
Stone guardian golem,Medium,Construct,,Unaligned,,2,FEF,128,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Stone Juggernaut,Large,Construct,,Unaligned,,12,ToA,231,n,n,n,,,,,,,,,,,,,,,,,
Stone Strix,Huge,Monstrosity,,Unaligned,,8,MaDC,197,n,n,n,,,,,,,ø,,ø,ø,,,,,,,
Stonemelder,Medium,Humanoid,Human,Neutral evil,,4,PotA,197,y,n,n,,,,,,,,,,,,,,,,,
Storm Giant,Huge,Giant,Storm Giant,Chaotic good,,13,MM,156,y,n,n,,,,,x,,,,,,,,x,,,,
Storm Giant Quintessent,Huge,Giant,Storm Giant,Chaotic good,,16,VGtM,151,y,y,y,,,,x,x,x,,,,x,,,x,,,,
Storm Lord Elemental,Huge,Elemental,,Neutral,,13,CC,139,n,n,n,Tempest,"Multiattack, Slam, Lightning Bolt, Thunder Clap",,,,,,,,,,,,,,,
Storm Spirit,Medium,Elemental,,Neutral,,1/2,CC,350,n,n,n,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Strahd Von Zarovich,Medium,Undead,Shapechanger,Lawful evil,,15,CoS,240,y,y,y,,,,,,,,,,,,,,ø,,,
Strahd Zombie,Medium,Undead,,Unaligned,,1,CoS,241,n,n,n,,,,,,,,,,,,,,ø,,,
Strahd's Animated Armor,Medium,Construct,,Lawful evil,,6,CoS,227,n,n,n,,,,,,,,,,,,,,ø,,,
Strangle weed,Large,Plant,Aquatic,Unaligned,,2,FEF,218,n,n,n,,,,,x,,,,,,x,x,x,,,,
Stryx,Tiny,Monstrosity,,Neutral,,1/8,ToB,369,y,n,n,,,,,,,ø,,,,,,,,,,
Stuhac,Medium,Fiend,,Neutral evil,,13,ToB,370,n,n,n,,,,,,,,,,,,,,,ø,,
Stygian Fat-Tailed Scorpion,Tiny,Beast,,Unaligned,,3,ToB,340,n,n,n,,,,,,ø,,,,,,ø,,,,,
Stygian skeleton,Medium,Undead,,Chaotic evil,,7,FEF,212,n,n,n,,,,,,,,,,,,x,,,,,
Su-Monster,Medium,Monstrosity,,Chaotic evil,,1,ToA,232,n,n,n,,,,,,,,,,,,,,,,,
Subek,Large,Humanoid,,Lawful neutral,,5,ToB,371,n,n,n,,,,,,,ø,,,,ø,,,,,,
Succubus,Medium,Fiend,Shapechanger,Neutral evil,,4,MM,285,n,n,n,,,,,,,,,,,,,,x,,,
Summer Eladrin,Medium,Fey,Elf,Chaotic neutral,,10,MToF,196,n,n,n,,,,,,x,x,,,,,,,,,,
Sunder Shaman,Huge,Giant,,Chaotic neutral,,10,GGtR,202,n,n,n,,,,,,,ø,ø,ø,,,,,ø,,,
Sunset Raptor,Medium,Monstrosity,,Unaligned,,1,CC,351,n,n,n,,,,,,,x,x,,,,,,,,,
Suppurating Ooze,Medium,Ooze,,Unaligned,,1,CC,288,n,n,n,,,,,,,,,,,,x,,x,,,
Suturefly,Tiny,Beast,,Unaligned,,1/4,ToB,372,n,n,n,,,,,,,ø,,,,ø,,,,,,
Svirfneblin,Small,Humanoid,Deep Gnome,Neutral good,,1/2,MM,164,y,n,n,,,,,,,,,,,,x,,,,,
Swamp Adder,Small,Beast,,Unaligned,,1/4,ToB,354,n,n,n,,,,,,,,,,,ø,,,,,,
Swarm of Bats,Medium,Beast,,Unaligned,,1/4,MM,337,n,n,n,,,,,,,,,x,x,,,,x,,,
Swarm of centipedes,Medium,Beast,Swarm,Unaligned,,1/2,FEF,52,n,n,n,,,,,,x,x,x,x,,x,,,x,,,
Swarm of Cranium Rats,Medium,Beast,Swarm,Lawful evil,,5,VGtM,133,y,n,n,,,,,,,,,,,,x,,x,,,
Swarm of Insects,Medium,Beast,,Unaligned,,1/2,MM,338,n,n,n,,,,,,x,x,x,x,,x,x,,x,,,
Swarm of Poisonous Snakes,Medium,Beast,,Unaligned,,2,MM,338,n,n,n,,,,,,,x,,,,x,,,,,,
Swarm of Quippers,Medium,Beast,,Unaligned,,1,MM,338,n,n,n,,,,,,,,,,,,,x,,,,
Swarm of Rats,Medium,Beast,,Unaligned,,1/4,MM,339,n,n,n,,,,,,,,,,,x,,,x,,,
Swarm of Ravens,Medium,Beast,,Unaligned,,1/4,MM,339,n,n,n,,,,,,,x,,x,,x,,,x,,,
Swarm of Rot Grubs,Medium,Beast,Swarm,Unaligned,,1/2,VGtM,208,n,n,n,,,,,,,,,,,x,x,,,,,
Swarm of Squirrels,Medium,Beast,Swarm,Unaligned,,2,MaDC,198,n,n,n,,,,,,,ø,,,,,,,,,,
Swashbuckler,Medium,Humanoid,Any Race,Any non-lawful,,3,VGtM,217,n,n,n,,,,,x,,,,,,,,,x,,,
Swashbuckler,Medium,Humanoid,Any Race,Any non-lawful,,3,WDH,216,n,n,n,,,,,,,,,,,,,,ø,,,
Swolbold,Medium,Humanoid,Kobold,Chaotic neutral,,3,CC,240,n,n,n,,,,,,,,,,,,,,,,,
Sword Wraith Commander,Medium,Undead,,Lawful evil,,8,MToF,241,n,n,n,,,,,,,,x,,,x,,,,,,
Sword Wraith Warrior,Medium,Undead,,Lawful evil,,3,MToF,241,n,n,n,,,,,,,,x,,,x,,,,,,
Sylvan Stalker,Medium,Plant,,Neutral,,8,MaDC,199,n,n,n,,,,,,,ø,,,,,,,,,,
Tabaxi,Medium,Humanoid,,Chaotic neutral,,1/2,FEF,219,n,n,n,,,,,,,x,,,,x,,,,,,
Tabaxi Hunter,Medium,Humanoid,Tabaxi,Chaotic good,,1,ToA,232,n,n,n,,,,,,,,,,,,,,,,,
Tabaxi Minstrel,Medium,Humanoid,Tabaxi,Chaotic good,,1/4,ToA,233,n,n,n,,,,,,,,,,,,,,,,,
Taer,Medium,Humanoid,,Neutral,,1,FEF,220,n,n,n,,,,x,,,,,,x,,,,,,,
Tai Feng,Medium,Humanoid,Half-orc,Unaligned,,18,MaDC,98,n,n,n,,,,,,,,,,,,,,ø,,,
Talis The White,Medium,Humanoid,Half-Elf,Lawful evil,,5,HotDQ,93,y,n,n,,,,,,,,,,,,,,,,,
Tanarukk,Medium,Fiend,"Demon, Orc",Chaotic evil,,5,VGtM,186,n,n,n,,,,,,,,,x,x,,x,,,,,
Tangtal,Medium,Monstrosity,,Neutral evil,,1,FEF,221,n,n,n,,,,,,,x,x,,,,,,,,,
Tar Ghoul,Medium,Undead,Ghoul,Neutral evil,,4,CC,176,n,n,n,Fire Hazard,"Multiattack, Bite, Claw, Vomit Tar",,,,,,,,,,,,,,,
Tarrasque,Gargantuan,Monstrosity,Titan,Unaligned,,30,MM,286,n,y,n,,,,,,,,,,,,,,x,,,
Tarul Var,Medium,Undead,,Neutral evil,,13,TftYP,244,y,y,n,,,,,,,,,,,,,,,,,
Tashlyn Yafeera,Medium,Humanoid,Human,Neutral,,9,WDH,200,n,n,n,,,,,,,,,,,,,,ø,,,
Tazelwurm,Large,Monstrosity,,Unaligned,,2,FEF,222,n,n,n,,,,,,,,,x,x,,,,,,,
Technothug,Medium,Humanoid,,Chaotic neutral,,1/2,MaDC,201,n,n,n,,,,,,,,,,,,,,ø,,,
Tecuziztecatl,Large,Monstrosity,,Neutral,,4,TftYP,245,n,n,n,,,,,,,,,,,,,,,,,
Temple Dog,Medium,Celestial,,Any good,,5,ToB,378,n,n,n,,,,ø,,,,,,ø,,,,,,,
Temporal crawler,Medium,Aberration,,Neutral evil,,2,FEF,223,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,
Tendriculos,Large,Plant,,Unaligned,,4,FEF,224,n,n,n,,,,,,,x,x,x,,,,,,,,
Tendril Puppet,Medium,Plant,,Lawful neutral,,2,ToB,403,n,n,n,,,,,,,ø,,,,ø,,,,,,
Tentacled horror,Huge,Aberration,,Chaotic evil,,11,FEF,225,n,y,n,,,,,,,,,,,,x,,,,,
Tentaghoul,Large,Undead,,Chaotic evil,,3,MaDC,202,n,n,n,,,,,,,,,,,ø,ø,,,ø,,
Teratashia,Large,Fiend,Demon,Chaotic evil,,15,FEF,80,y,n,n,,,,,,,,,,,,,,,x,,
Terror Bird,Large,Beast,,Unaligned,,2,CC,352,n,n,n,,,,,,,,,,,,,,,,,
Thalasskoptis,Large,Fiend,Demon,Chaotic evil,,10,FEF,81,y,y,n,,,,,x,,,,,,x,,x,,x,,
Thayan Apprentice,Medium,Humanoid,,Any non-good,,2,TftYP,245,y,n,n,,,,,,,,,,,,,,,,,
Thayan Warrior,Medium,Humanoid,,Any non-good,,2,TftYP,246,n,n,n,,,,,,,,,,,,,,,,,
The Angry,Medium,Monstrosity,Sorrowsworn,Neutral evil,,13,MToF,231,n,n,n,,,,,,,,,,,,x,,x,,,
The Barbed,Small,Humanoid,Kobold,Lawful evil,,1,CC,263,n,n,n,,,,,,x,,,,,,,,,,,
The Hungry,Medium,Monstrosity,Sorrowsworn,Neutral evil,,11,MToF,232,n,n,n,,,,,,,x,,,,,x,,x,,,
The Lonely,Medium,Monstrosity,Sorrowsworn,Neutral evil,,9,MToF,232,n,n,n,,,,,x,x,,,,x,,x,,x,,,
The Lost,Medium,Monstrosity,Sorrowsworn,Neutral evil,,7,MToF,233,n,n,n,,,,x,,x,x,,,x,x,x,,x,,,
The Pudding King,Small,Humanoid,"Gnome, Shapechanger",Chaotic evil,,4,OotA,233,y,n,n,,,,,,,,,,,,,,,,,
The Wretched,Small,Monstrosity,Sorrowsworn,Neutral evil,,1/4,MToF,233,n,n,n,,,,,,,,,,,x,x,,x,,,
Theullai,Huge,Elemental,,Chaotic neutral,,10,ToB,379,n,n,n,,,,ø,,,,,,ø,,,,,,,
Thief Lord,Medium,Humanoid,,Lawful evil,,8,CC,406,n,n,n,,,,,,,,,,,,,,,,,
Thorn Slinger,Large,Plant,,Unaligned,,1/2,TftYP,246,n,n,n,,,,,,,ø,,,,,,,,,,
Thorned Sulfurlord,Huge,Fiend,Planar Flora,Chaotic evil,,11,CC,306,n,n,n,,,,,,,,,,,,,,,,,
Thorny,Medium,Plant,,Neutral,,1,ToA,233,n,n,n,,,,,,,ø,,,,ø,,,,,,
Thorny,Medium,Plant,,Neutral,,1,VGtM,197,n,n,n,,,,,,,x,,,,x,,,,,,
Thought Spy,Medium,Humanoid,Any Race,Neutral evil,,1,GGtR,233,y,n,n,,,,,,,,,,,,ø,,ø,,,
Thread-Bound Constrictor Snake,Huge,Construct,,Unaligned,,3,CC,353,n,n,n,,,,,,,,,,,,,,,,,
Three-headed Clockwork Dragon,Huge,Construct,Dragon,Unaligned,,14,CC,112,n,n,n,"Bound, Immutable Form, MAgic Resistance, Siege Monster","Multiattack, Bite, Fist, Fire Breath, Oil Spray, Tail Sweep",,,,,,,,,,,,,,,
Three-Headed Cobra,Large,Monstrosity,,Unaligned,,5,CC,354,n,n,n,,,,,,,,,,,,,,,,,
Thri-Kreen,Medium,Humanoid,Thri-Kreen,Chaotic neutral,,1,MM,288,n,n,n,,,,,,x,,x,,,,,,,,,
Thug,Medium,Humanoid,Any Race,Any non-good,,1/2,MM,350,n,n,n,,,,,,,,,,,,,,x,,,
Thurl Merosska,Medium,Humanoid,Human,Lawful evil,,3,PotA,192,y,n,n,,,,,,,,,,,,,,,,,
Thursir Giant,Large,Giant,,Chaotic evil,,3,ToB,227,n,n,n,,,,ø,,,,,,ø,,ø,,,,,
